id;player_score_1;player_score_2;player_score_3;player_score_4;created_date
1;91044;82206;30773;81022;2022-10-03T10:38:26
2;46321;55354;6437;87457;2022-10-04T01:36:44
3;39371;68855;78205;61636;2022-10-03T11:32:31
4;46773;91631;68811;25135;2022-10-03T09:56:01
5;35331;92554;89372;73917;2022-10-03T21:20:57
6;74978;3525;68472;49324;2022-10-03T05:20:34
7;92048;7345;51764;3605;2022-10-03T10:10:38
8;17193;6557;47887;75533;2022-10-04T03:49:25
9;50201;97080;10914;86350;2022-10-03T18:49:54
10;95792;64060;5774;19605;2022-10-03T20:28:35
