id;start_date;end_date;language
1;2022-10-04T01:37:22;2022-10-03T23:27:37;ENGLISH
2;2022-10-03T11:04:57;2022-10-03T20:30:26;FRENCH
3;2022-10-03T21:01:09;2022-10-03T09:06:17;SPANISH
4;2022-10-04T01:31:58;2022-10-03T06:58:17;FRENCH
5;2022-10-04T03:48:21;2022-10-03T12:07:19;ENGLISH
6;2022-10-03T13:19:04;2022-10-04T03:19:24;SPANISH
7;2022-10-03T21:22:52;2022-10-03T07:57:01;FRENCH
8;2022-10-03T11:48:45;2022-10-03T08:24:34;FRENCH
9;2022-10-03T12:40:23;2022-10-04T00:11:49;FRENCH
10;2022-10-03T08:37:21;2022-10-04T01:34:50;FRENCH
